Cas-nr,PubChem CID
614-96-0,11978
616-06-8,9475
616-91-1,12035
619-66-9,12088
621-27-2,69302
621-79-4,5273472
623-05-2,125
623-13-2,69334
623-73-4,12192
625-05-8,2760933
626-18-6,69374
626-93-7,12297
628-02-4,12332
628-99-9,12367
631-61-8,517165
633-03-4,12449
633-96-5,135442941
635-78-9,69462
638-07-3,69484
644-35-9,12570
644-90-6,69522
645-12-5,12577
645-45-4,64801
645-56-7,12580
657-27-2,69568
673-06-3,71567
685-27-8,69635
700-57-2,64149
709-63-7,69731
760-78-1,824
764-01-2,12991
765-30-0,69828
768-66-1,13035
771-50-6,69867
771-97-1,69872
784-04-3,69911
791-28-6,13097
823-82-5,69980
830-09-1,699414
830-13-7,13246
853-35-0,70067
860-22-0,2723854
873-76-7,13397
875-74-1,70134
877-24-7,23676735
879-37-8,397
897-06-3,13472
917-61-3,517096
924-50-5,13546
927-74-2,13566
937-30-4,13642
956-48-9,13726
987-65-5,13803
1006-94-6,13872
1066-33-7,14013
1069-31-4,71598
1072-82-8,2737793
1072-83-9,14079
1077-28-7,864
1080-06-4,70652
1094-61-7,14180
1102-19-8,14195
1109-28-0,439586
1111-78-0,517232
1113-59-3,70684
1114-34-7,65550
1119-34-2,66250
1124-39-6,70761
1128-23-0,439373
1131-60-8,14327
1132-61-2,70807
1135-40-6,70815
1185-57-5,14457
1190-73-4,14484
1193-82-4,14516
1194-98-5,70949
1196-92-5,70966
1260-17-9,10255083
1303-96-4,16211214
1310-58-3,14797
1310-65-2,3939
1310-73-2,14798
1314-56-3,6326975
1336-21-6,14923
1444-65-1,95592
1517-69-7,637516
1530-32-1,73727
1565-74-8,640199
1572-95-8,5324631
1577-55-5,5463514
1592-95-6,252446
1647-16-1,15439
1668-08-2,6857365
1734-79-8,5354135
1758-33-4,92162
1779-49-3,74505
1783-96-6,83887
1854-25-7,159630
1877-77-6,80293
1883-75-6,74663
1910-42-5,15938
1912-24-9,2256
1934-21-0,164825
1936-15-8,16015
1937-19-5,2734687
1948-48-7,73064
2009-83-8,74828
2021-28-5,16237
2133-34-8,16486
2133-40-6,2733200
2196-13-6,2723788
2216-92-4,75190
2227-79-4,683563
2236-60-4,135398660
2244-16-8,16724
2245-30-9,92174
2305-13-7,16822
2365-48-2,16907
2373-51-5,16916
2381-85-3,16938
2437-29-8,2724411
2450-71-7,239041
2462-84-2,5280590
2465-27-2,17170
2466-76-4,17174
2475-45-8,17190
2478-38-8,17198
2492-87-7,92930
2503-46-0,17262
2564-83-2,2724126
2611-82-7,17466
2620-44-2,75798
2627-86-3,75818
2628-17-3,62453
2646-71-1,52945042
2696-84-6,75908
2700-22-3,17608
2726-73-0,95421
2785-89-9,62465
2835-82-7,10932
3006-96-0,76360
3087-16-9,91525
3105-95-1,439227
3112-85-4,18369
3184-13-2,76654
3238-40-2,76720
3262-72-4,98766
3443-45-6,76977
3458-28-4,161658
3522-50-7,61300
3567-69-9,19118
3597-91-9,19186
3760-95-0,11147670
3775-73-3,5706670
3844-45-9,19700
3878-55-5,77487
3886-69-9,643189
3971-29-7,85902
4046-02-0,736681
4071-88-9,77687
4197-25-5,61336
4199-88-6,72790
4254-14-2,259994
4254-15-3,439846
4270-27-3,73272
4277-32-1,545297
4358-64-9,641773
4362-40-7,20374
4385-04-0,78090
4399-55-7,20427
4430-20-0,20486
4432-31-9,78165
4474-24-2,20551
4477-28-5,78231
4578-31-8,20712
4621-66-3,737155
4660-80-4,107319
4780-79-4,20908
4792-15-8,62551
5006-66-6,72924
5289-74-7,5459840
5292-43-3,79177
5324-84-5,23669624
5371-52-8,93002
5394-18-3,93575
5399-87-1,93003
5457-28-3,230282
5625-37-6,79723
5680-79-5,122755
5699-54-7,193411
5794-13-8,170358
5949-29-1,22230
5970-45-6,2724192
5989-81-1,104938
6000-40-4,439194
6000-41-5,17749140
6049-54-3,440311
6057-35-8,17749233
6104-58-1,61363
6106-24-7,12598458
6131-90-4,23665404
6138-23-4,181978
6152-33-6,517383
6168-72-5,5126
6284-40-8,8567
6305-38-0,73508
6338-41-6,80642
6363-53-7,23615261
6381-59-5,165453
6381-92-6,44120005
6382-01-0,23695977
6484-52-2,22985
6600-40-4,65098
6627-88-9,226486
6630-30-4,246677
6860-47-5,439538
6893-26-1,23327
6972-71-0,81445
6976-37-0,81462
7057-57-0,101929
7152-24-1,23539
7220-79-3,104827
7235-40-7,5280489
7365-45-9,23831
7385-67-3,65182
7417-21-2,81911
7429-90-5,5359268
7433-79-6,139022
7440-44-0,5462310
7446-20-0,62640
7447-40-7,4873
7447-41-8,433294
7487-88-9,24083
7487-94-7,24085
7512-17-6,1738118
7541-49-3,5366244
7585-39-9,444041
7601-90-3,24247
7631-90-5,23665763
7631-99-4,24268
7632-00-0,23668193
7646-85-7,5727
7647-01-0,313
7647-14-5,5234
7647-15-6,253881
7664-38-2,1004
7664-41-7,222
7681-11-0,4875
7681-49-4,5235
7681-57-4,656671
7681-82-5,5238
7697-37-2,944
7704-34-9,5362487
7705-08-0,24380
7722-64-7,516875
7732-18-5,962
7757-79-1,24434
7757-83-7,24437
7758-09-0,516910
